FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_Date,CRS_DEP_Date,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,ACTIVE_WEATHER
1/7/2022,13,B6,285,N358JB,JFK,RDU,1/7/2022,1/7/2022,17,65,80,0,2013,Embraer,E190,1
1/7/2022,0,B6,295,N789JB,JFK,AUS,1/7/2022,1/7/2022,0,0,0,2,2011,Airbus,A320,0
1/7/2022,20,B6,385,N334JB,JFK,RDU,1/7/2022,1/7/2022,29,3,70,0,2011,Embraer,E190,0
1/7/2022,20,B6,97,N997JL,JFK,DEN,1/7/2022,1/7/2022,36,56,244,0,2018,Airbus,A321,0
1/7/2022,19,DL,1077,N863DN,JFK,DEN,1/7/2022,1/7/2022,66,-4,246,0,2016,Boeing,B739,0
1/7/2022,0,DL,1170,N712TW,JFK,DEN,1/7/2022,1/7/2022,0,0,0,2,1997,Boeing,B752,0
1/7/2022,0,DL,1175,N342NB,JFK,AUS,1/7/2022,1/7/2022,0,0,0,2,2002,Airbus,A319,0
1/7/2022,19,9E,4829,N348PQ,JFK,RDU,1/7/2022,1/7/2022,20,134,73,0,2015,Bombardier,CRJ9,0
1/7/2022,0,9E,4873,N296PQ,JFK,RDU,1/7/2022,1/7/2022,0,0,0,2,2013,Bombardier,CRJ9,0
1/7/2022,0,9E,5113,N348PQ,JFK,RDU,1/7/2022,1/7/2022,0,0,0,2,2015,Bombardier,CRJ9,0
1/7/2022,20,9E,5247,N294PQ,JFK,RDU,1/7/2022,1/7/2022,34,65,72,0,2013,Bombardier,CRJ9,0
1/7/2022,0,YX,5619,N203JQ,JFK,RDU,1/7/2022,1/7/2022,0,0,0,2,2008,Embraer,E75L,0
1/7/2022,18,DL,655,N333NB,JFK,AUS,1/7/2022,1/7/2022,28,16,211,0,2001,Airbus,A319,0
1/7/2022,0,DL,659,N333NB,JFK,AUS,1/7/2022,1/7/2022,0,0,0,2,2001,Airbus,A319,0
1/8/2022,17,AA,2772,N339PL,JFK,AUS,1/8/2022,1/8/2022,22,16,228,0,2017,Boeing,B738,0
1/8/2022,7,AA,2813,N991NN,JFK,AUS,1/8/2022,1/8/2022,16,-4,214,0,2016,Boeing,B738,0
1/8/2022,14,YX,4503,N412YX,JFK,RDU,1/8/2022,1/8/2022,16,16,70,0,2013,Embraer,E75L,0
1/8/2022,16,YX,4540,N453YX,JFK,RDU,1/8/2022,1/8/2022,22,7,71,0,2021,Embraer,E75L,0
1/8/2022,12,YX,4628,N446YX,JFK,RDU,1/8/2022,1/8/2022,27,-3,74,0,2015,Embraer,E75L,0
1/8/2022,7,YX,4926,N107HQ,JFK,RDU,1/8/2022,1/8/2022,21,-7,79,0,2007,Embraer,E75L,0
1/8/2022,18,B6,1185,N266JB,JFK,RDU,1/8/2022,1/8/2022,18,60,71,0,2007,Embraer,E190,0
1/8/2022,14,B6,285,N358JB,JFK,RDU,1/8/2022,1/8/2022,17,140,70,0,2013,Embraer,E190,0
1/8/2022,14,B6,295,N768JB,JFK,AUS,1/8/2022,1/8/2022,24,36,207,0,2009,Airbus,A320,0
1/8/2022,20,B6,385,N358JB,JFK,RDU,1/8/2022,1/8/2022,16,-3,68,0,2013,Embraer,E190,0
1/8/2022,6,B6,795,N649JB,JFK,AUS,1/8/2022,1/8/2022,21,-8,211,0,2006,Airbus,A320,0
1/8/2022,21,B6,97,N956JT,JFK,DEN,1/8/2022,1/8/2022,17,94,239,0,2015,Airbus,A321,0
1/8/2022,20,DL,1077,N895DN,JFK,DEN,1/8/2022,1/8/2022,30,57,236,0,2018,Boeing,B739,0
1/8/2022,8,DL,1170,N721TW,JFK,DEN,1/8/2022,1/8/2022,27,49,234,0,1999,Boeing,B752,0
1/8/2022,16,9E,4829,N691CA,JFK,RDU,1/8/2022,1/8/2022,24,-2,71,0,2007,Bombardier,CRJ9,0
1/8/2022,8,9E,4873,N908XJ,JFK,RDU,1/8/2022,1/8/2022,21,13,73,0,2007,Bombardier,CRJ9,0
1/8/2022,12,9E,5113,N341PQ,JFK,RDU,1/8/2022,1/8/2022,17,67,71,0,2014,Bombardier,CRJ9,0
1/8/2022,19,9E,5247,N315PQ,JFK,RDU,1/8/2022,1/8/2022,19,-7,69,0,2014,Bombardier,CRJ9,0
1/8/2022,13,9E,5447,N311PQ,JFK,RDU,1/8/2022,1/8/2022,16,1,74,0,2014,Bombardier,CRJ9,0
1/8/2022,19,DL,655,N342NB,JFK,AUS,1/8/2022,1/8/2022,40,58,208,0,2002,Airbus,A319,0
1/8/2022,8,DL,659,N342NB,JFK,AUS,1/8/2022,1/8/2022,28,22,208,0,2002,Airbus,A319,0
1/9/2022,17,AA,2772,N961NN,JFK,AUS,1/9/2022,1/9/2022,21,26,236,0,2014,Boeing,B738,0
1/9/2022,7,AA,2813,N335PH,JFK,AUS,1/9/2022,1/9/2022,13,-3,235,0,2017,Boeing,B738,0
1/9/2022,14,YX,4503,N103HQ,JFK,RDU,1/9/2022,1/9/2022,40,-6,79,0,2007,Embraer,E75L,0
1/9/2022,16,YX,4540,N413YX,JFK,RDU,1/9/2022,1/9/2022,23,-4,74,0,2013,Embraer,E75L,0
1/9/2022,12,YX,4628,N428YX,JFK,RDU,1/9/2022,1/9/2022,35,-6,74,0,2014,Embraer,E75L,0
1/9/2022,7,YX,4926,N453YX,JFK,RDU,1/9/2022,1/9/2022,16,-6,76,0,2021,Embraer,E75L,0
1/9/2022,17,B6,1185,N274JB,JFK,RDU,1/9/2022,1/9/2022,11,13,75,0,2007,Embraer,E190,0
1/9/2022,22,B6,1295,N504JB,JFK,AUS,1/9/2022,1/9/2022,19,119,234,0,1999,Airbus,A320,1
1/9/2022,12,B6,285,N324JB,JFK,RDU,1/9/2022,1/9/2022,17,-9,74,0,2010,Embraer,E190,0
1/9/2022,13,B6,295,N709JB,JFK,AUS,1/9/2022,1/9/2022,29,-6,249,0,2008,Airbus,A320,0
1/9/2022,21,B6,385,N216JB,JFK,RDU,1/9/2022,1/9/2022,16,29,74,0,2006,Embraer,E190,1
1/9/2022,20,B6,97,N972JT,JFK,DEN,1/9/2022,1/9/2022,26,9,239,0,2016,Airbus,A321,0
