FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_TIME,CRS_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,ACTIVE_WEATHER
1/3/2022,7,B6,795,N794JB,JFK,AUS,1/3/2022 7:34,1/3/2022 6:59,18,35,214,0,2011,Airbus,A320,0
1/3/2022,23,B6,97,N966JT,JFK,DEN,1/3/2022 23:18,1/3/2022 20:00,0,198,0,1,2016,Airbus,A321,0
1/3/2022,20,DL,1077,N893DN,JFK,DEN,1/3/2022 20:33,1/3/2022 19:59,19,34,239,0,2018,Boeing,B739,0
1/3/2022,9,DL,1170,N828MH,JFK,DEN,1/3/2022 9:42,1/3/2022 8:59,19,43,228,0,2000,Boeing,B764,0
1/3/2022,13,DL,1175,N113DQ,JFK,AUS,1/3/2022 13:01,1/3/2022 13:00,22,1,206,0,2019,Airbus,BCS1,0
1/3/2022,9,9E,5078,N909XJ,JFK,RDU,1/3/2022 9:20,1/3/2022 8:20,27,60,86,0,2007,Bombardier,CRJ9,0
1/3/2022,16,9E,5113,N336PQ,JFK,RDU,1/3/2022 16:30,1/3/2022 12:00,30,270,74,0,2014,Bombardier,CRJ9,0
1/3/2022,20,9E,5247,N931XJ,JFK,RDU,1/3/2022 20:06,1/3/2022 19:40,18,26,73,0,2008,Bombardier,CRJ9,0
1/3/2022,15,YX,5816,N231JQ,JFK,RDU,1/3/2022 15:44,1/3/2022 15:20,29,24,80,0,2008,Embraer,E75L,0
1/3/2022,7,DL,659,N127DU,JFK,AUS,1/3/2022 7:55,1/3/2022 8:00,32,-5,215,0,2019,Airbus,BCS1,0
1/4/2022,17,AA,2772,N335PH,JFK,AUS,1/4/2022 17:25,1/4/2022 17:29,17,-4,217,0,2017,Boeing,B738,0
1/4/2022,7,AA,2813,N878NN,JFK,AUS,1/4/2022 7:56,1/4/2022 8:00,19,-4,211,0,2011,Boeing,B738,0
1/4/2022,14,YX,4503,N138HQ,JFK,RDU,1/4/2022 14:20,1/4/2022 14:30,20,-10,71,0,2008,Embraer,E75L,0
1/4/2022,16,YX,4540,N120HQ,JFK,RDU,1/4/2022 16:35,1/4/2022 16:45,23,-10,77,0,2007,Embraer,E75L,0
1/4/2022,12,YX,4628,N428YX,JFK,RDU,1/4/2022 12:56,1/4/2022 13:00,27,-4,74,0,2014,Embraer,E75L,0
1/4/2022,7,YX,4926,N105HQ,JFK,RDU,1/4/2022 7:40,1/4/2022 7:40,29,0,76,0,2007,Embraer,E75L,0
1/4/2022,8,B6,285,N368JB,JFK,RDU,1/4/2022 8:38,1/4/2022 8:40,23,-2,72,0,2013,Embraer,E190,0
1/4/2022,11,B6,295,N605JB,JFK,AUS,1/4/2022 11:33,1/4/2022 11:29,14,4,207,0,2005,Airbus,A320,0
1/4/2022,22,B6,385,N373JB,JFK,RDU,1/4/2022 22:06,1/4/2022 21:35,14,31,67,0,2013,Embraer,E190,0
1/4/2022,9,B6,795,N640JB,JFK,AUS,1/4/2022 9:57,1/4/2022 9:59,14,-2,205,0,2006,Airbus,A320,0
1/4/2022,20,B6,97,N949JT,JFK,DEN,1/4/2022 20:44,1/4/2022 20:00,22,44,240,0,2015,Airbus,A321,0
1/4/2022,20,DL,1077,N392DA,JFK,DEN,1/4/2022 20:18,1/4/2022 19:59,24,19,241,0,2000,Boeing,B738,0
1/4/2022,8,DL,1170,N835MH,JFK,DEN,1/4/2022 8:55,1/4/2022 8:59,12,-4,231,0,2000,Boeing,B764,0
1/4/2022,13,DL,1175,N106DU,JFK,AUS,1/4/2022 13:56,1/4/2022 13:00,16,56,217,0,2019,Airbus,BCS1,0
1/4/2022,8,9E,5078,N292PQ,JFK,RDU,1/4/2022 8:17,1/4/2022 8:20,22,-3,79,0,2013,Bombardier,CRJ9,0
1/4/2022,13,9E,5113,N336PQ,JFK,RDU,1/4/2022 13:48,1/4/2022 12:00,14,108,76,0,2014,Bombardier,CRJ9,0
1/4/2022,19,9E,5247,N314PQ,JFK,RDU,1/4/2022 19:44,1/4/2022 19:40,35,4,75,0,2014,Bombardier,CRJ9,0
1/4/2022,15,YX,5816,N218JQ,JFK,RDU,1/4/2022 15:19,1/4/2022 15:20,22,-1,76,0,2007,Embraer,E75L,0
1/4/2022,8,DL,659,N134DU,JFK,AUS,1/4/2022 8:11,1/4/2022 8:00,16,11,210,0,2020,Airbus,BCS1,0
1/5/2022,17,AA,2772,N934NN,JFK,AUS,1/5/2022 17:25,1/5/2022 17:29,16,-4,251,0,2013,Boeing,B738,1
1/5/2022,9,AA,2813,N829NN,JFK,AUS,1/5/2022 9:31,1/5/2022 8:00,21,91,241,0,2010,Boeing,B738,0
1/5/2022,14,YX,4503,N422YX,JFK,RDU,1/5/2022 14:24,1/5/2022 14:30,24,-6,83,0,2014,Embraer,E75L,1
1/5/2022,17,YX,4540,N115HQ,JFK,RDU,1/5/2022 17:16,1/5/2022 16:45,30,31,78,0,2007,Embraer,E75L,1
1/5/2022,12,YX,4628,N439YX,JFK,RDU,1/5/2022 12:50,1/5/2022 13:00,27,-10,79,0,2014,Embraer,E75L,1
1/5/2022,8,YX,4926,N425YX,JFK,RDU,1/5/2022 8:02,1/5/2022 7:59,31,3,77,0,2014,Embraer,E75L,0
1/5/2022,18,B6,1185,N281JB,JFK,RDU,1/5/2022 18:42,1/5/2022 17:29,28,73,77,0,2007,Embraer,E190,1
1/5/2022,12,B6,285,N284JB,JFK,RDU,1/5/2022 12:59,1/5/2022 12:20,27,39,76,0,2008,Embraer,E190,1
