FL_DATE,DEP_HOUR,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_TIME,CRS_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,DISTANCE,CANCELLED,LATITUDE,LONGITUDE,ELEVATION,MESONET_STATION,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,RANGE,WIDTH,WIND_DIR,WIND_SPD,WIND_GUST,VISIBILITY,TEMPERATURE,DEW_POINT,REL_HUMIDITY,ALTIMETER,LOWEST_CLOUD_LAYER,N_CLOUD_LAYER,LOW_LEVEL_CLOUD,MID_LEVEL_CLOUD,HIGH_LEVEL_CLOUD,CLOUD_COVER,ACTIVE_WEATHER
1/2/2022,15,AA,4734,YX,4734,N435YX,JFK,RDU,1/2/2022 15:02,1/2/2022 15:10,43,-8,92,427,0,40.64,-73.77861,13,JFK,2014,Embraer,E75L,Short Range,Narrow-body,230,10,0,0.06,11.11,11.11,100,29.62,300,1,1,0,0,0,1
1/2/2022,9,B6,285,B6,285,N206JB,JFK,RDU,1/2/2022 9:28,1/2/2022 8:40,26,48,78,427,0,40.64,-73.77861,13,JFK,2006,Embraer,E190,Short Range,Narrow-body,330,7,0,2,10.61,10.61,100,29.56,400,1,1,0,0,4,0
1/2/2022,11,B6,295,B6,295,N564JB,JFK,AUS,1/2/2022 11:44,1/2/2022 11:29,21,15,244,1521,0,40.64,-73.77861,13,JFK,2003,Airbus,A320,Medium Range,Narrow-body,310,5,0,0.5,11.11,11.11,100,29.6,200,1,1,0,0,4,1
1/2/2022,0,B6,385,B6,385,N183JB,JFK,RDU,1/2/2022 0:53,1/2/2022 21:35,17,198,77,427,0,40.64,-73.77861,13,JFK,2005,Embraer,E190,Short Range,Narrow-body,0,0,0,0.25,10.61,10.61,100,29.73,200,1,1,0,0,4,1
1/2/2022,0,B6,795,B6,795,N510JB,JFK,AUS,1/2/2022 0:00,1/2/2022 9:59,0,0,0,1521,1,40.64,-73.77861,13,JFK,2000,Airbus,A320,Medium Range,Narrow-body,0,0,0,0.25,10.61,10.61,100,29.73,200,1,1,0,0,4,1
1/2/2022,20,B6,97,B6,97,N905JB,JFK,DEN,1/2/2022 20:01,1/2/2022 20:00,30,1,244,1626,0,40.64,-73.77861,13,JFK,2013,Airbus,A321,Medium Range,Narrow-body,260,10,0,10,14.39,11.11,80.67,29.65,2000,3,1,0,1,4,0
1/2/2022,19,DL,1077,DL,1077,N837DN,JFK,DEN,1/2/2022 19:57,1/2/2022 19:59,32,-2,238,1626,0,40.64,-73.77861,13,JFK,2015,Boeing,B739,Medium Range,Narrow-body,250,8,0,10,13.89,11.72,86.77,29.62,1800,4,1,0,1,3,0
1/2/2022,8,DL,1170,DL,1170,N837MH,JFK,DEN,1/2/2022 8:53,1/2/2022 8:59,29,-6,241,1626,0,40.64,-73.77861,13,JFK,2000,Boeing,B764,Long Range,Wide-body,140,8,0,10,11.72,11.11,96.03,29.5,500,1,1,0,0,4,1
1/2/2022,12,DL,1175,DL,1175,N106DU,JFK,AUS,1/2/2022 12:53,1/2/2022 13:00,24,-7,244,1521,0,40.64,-73.77861,13,JFK,2019,Airbus,BCS1,Medium Range,Narrow-body,0,0,0,0.5,10.61,10.61,100,29.56,300,1,1,0,0,0,1
1/2/2022,8,DL,5078,9E,5078,N931XJ,JFK,RDU,1/2/2022 8:15,1/2/2022 8:20,27,-5,76,427,0,40.64,-73.77861,13,JFK,2008,Bombardier,CRJ9,Short Range,Narrow-body,140,8,0,10,11.72,11.11,96.03,29.5,500,1,1,0,0,4,1
