FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,SCHED_DEP_DATE,SCHED_DEP_TIME,ACTUAL_DEP_DATE,ACTUAL_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,ACTIVE_WEATHER
44564,15,YX,4734,N435YX,JFK,RDU,1/3/2022,3:49:00 PM,1/3/2022,3:10:00 PM,48,39,72,0,2014,Embraer,E75L,0
44564,0,B6,285,N284JB,JFK,RDU,1/3/2022,12:00:00 AM,1/3/2022,8:40:00 AM,0,0,0,1,2008,Embraer,E190,1
44564,11,B6,295,N629JB,JFK,AUS,1/3/2022,11:04:00 AM,1/3/2022,11:03:00 AM,17,1,206,0,2005,Airbus,A320,0
44564,22,B6,385,N307JB,JFK,RDU,1/3/2022,10:25:00 PM,1/3/2022,9:35:00 PM,19,50,72,0,2009,Embraer,E190,0
44564,7,B6,795,N794JB,JFK,AUS,1/3/2022,7:34:00 AM,1/3/2022,6:59:00 AM,18,35,214,0,2011,Airbus,A320,0
44564,23,B6,97,N966JT,JFK,DEN,1/3/2022,11:18:00 PM,1/3/2022,8:00:00 PM,0,198,0,1,2016,Airbus,A321,0
44564,20,DL,1077,N893DN,JFK,DEN,1/3/2022,8:33:00 PM,1/3/2022,7:59:00 PM,19,34,239,0,2018,Boeing,B739,0
44564,9,DL,1170,N828MH,JFK,DEN,1/3/2022,9:42:00 AM,1/3/2022,8:59:00 AM,19,43,228,0,2000,Boeing,B764,0
44564,13,DL,1175,N113DQ,JFK,AUS,1/3/2022,1:01:00 PM,1/3/2022,1:00:00 PM,22,1,206,0,2019,Airbus,BCS1,0
44564,9,9E,5078,N909XJ,JFK,RDU,1/3/2022,9:20:00 AM,1/3/2022,8:20:00 AM,27,60,86,0,2007,Bombardier,CRJ9,0
44564,16,9E,5113,N336PQ,JFK,RDU,1/3/2022,4:30:00 PM,1/3/2022,12:00:00 PM,30,270,74,0,2014,Bombardier,CRJ9,0
44564,20,9E,5247,N931XJ,JFK,RDU,1/3/2022,8:06:00 PM,1/3/2022,7:40:00 PM,18,26,73,0,2008,Bombardier,CRJ9,0
44564,15,YX,5816,N231JQ,JFK,RDU,1/3/2022,3:44:00 PM,1/3/2022,3:20:00 PM,29,24,80,0,2008,Embraer,E75L,0
44564,7,DL,659,N127DU,JFK,AUS,1/3/2022,7:55:00 AM,1/3/2022,8:00:00 AM,32,-5,215,0,2019,Airbus,BCS1,0
44565,17,AA,2772,N335PH,JFK,AUS,1/4/2022,5:25:00 PM,1/4/2022,5:29:00 PM,17,-4,217,0,2017,Boeing,B738,0
44565,7,AA,2813,N878NN,JFK,AUS,1/4/2022,7:56:00 AM,1/4/2022,8:00:00 AM,19,-4,211,0,2011,Boeing,B738,0
44565,14,YX,4503,N138HQ,JFK,RDU,1/4/2022,2:20:00 PM,1/4/2022,2:30:00 PM,20,-10,71,0,2008,Embraer,E75L,0
44565,16,YX,4540,N120HQ,JFK,RDU,1/4/2022,4:35:00 PM,1/4/2022,4:45:00 PM,23,-10,77,0,2007,Embraer,E75L,0
44565,12,YX,4628,N428YX,JFK,RDU,1/4/2022,12:56:00 PM,1/4/2022,1:00:00 PM,27,-4,74,0,2014,Embraer,E75L,0
44565,7,YX,4926,N105HQ,JFK,RDU,1/4/2022,7:40:00 AM,1/4/2022,7:40:00 AM,29,0,76,0,2007,Embraer,E75L,0
44565,8,B6,285,N368JB,JFK,RDU,1/4/2022,8:38:00 AM,1/4/2022,8:40:00 AM,23,-2,72,0,2013,Embraer,E190,0
44565,11,B6,295,N605JB,JFK,AUS,1/4/2022,11:33:00 AM,1/4/2022,11:29:00 AM,14,4,207,0,2005,Airbus,A320,0
44565,22,B6,385,N373JB,JFK,RDU,1/4/2022,10:06:00 PM,1/4/2022,9:35:00 PM,14,31,67,0,2013,Embraer,E190,0
44565,9,B6,795,N640JB,JFK,AUS,1/4/2022,9:57:00 AM,1/4/2022,9:59:00 AM,14,-2,205,0,2006,Airbus,A320,0
44565,20,B6,97,N949JT,JFK,DEN,1/4/2022,8:44:00 PM,1/4/2022,8:00:00 PM,22,44,240,0,2015,Airbus,A321,0
44565,20,DL,1077,N392DA,JFK,DEN,1/4/2022,8:18:00 PM,1/4/2022,7:59:00 PM,24,19,241,0,2000,Boeing,B738,0
44565,8,DL,1170,N835MH,JFK,DEN,1/4/2022,8:55:00 AM,1/4/2022,8:59:00 AM,12,-4,231,0,2000,Boeing,B764,0
44565,13,DL,1175,N106DU,JFK,AUS,1/4/2022,1:56:00 PM,1/4/2022,1:00:00 PM,16,56,217,0,2019,Airbus,BCS1,0
44565,8,9E,5078,N292PQ,JFK,RDU,1/4/2022,8:17:00 AM,1/4/2022,8:20:00 AM,22,-3,79,0,2013,Bombardier,CRJ9,0
44565,13,9E,5113,N336PQ,JFK,RDU,1/4/2022,1:48:00 PM,1/4/2022,12:00:00 PM,14,108,76,0,2014,Bombardier,CRJ9,0
44565,19,9E,5247,N314PQ,JFK,RDU,1/4/2022,7:44:00 PM,1/4/2022,7:40:00 PM,35,4,75,0,2014,Bombardier,CRJ9,0
44565,15,YX,5816,N218JQ,JFK,RDU,1/4/2022,3:19:00 PM,1/4/2022,3:20:00 PM,22,-1,76,0,2007,Embraer,E75L,0
44565,8,DL,659,N134DU,JFK,AUS,1/4/2022,8:11:00 AM,1/4/2022,8:00:00 AM,16,11,210,0,2020,Airbus,BCS1,0
44566,17,AA,2772,N934NN,JFK,AUS,1/5/2022,5:25:00 PM,1/5/2022,5:29:00 PM,16,-4,251,0,2013,Boeing,B738,1
